symbol,Z,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
H,1,13.59844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He,2,24.58741,54.41778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li,3,5.39172,75.64018,122.45429,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be,4,9.3227,18.21116,153.89661,217.71865,,,,,,,,,,,,,,,,,,,,,,,,,,
B,5,8.29803,25.15484,37.93064,259.37521,340.2258,,,,,,,,,,,,,,,,,,,,,,,,,
C,6,11.2603,24.38332,47.8878,64.4939,392.087,489.99334,,,,,,,,,,,,,,,,,,,,,,,,
N,7,14.53414,29.6013,47.44924,77.4735,97.8902,552.0718,667.046,,,,,,,,,,,,,,,,,,,,,,,
O,8,13.61806,35.1173,54.9355,77.41353,113.899,138.1197,739.29,871.4101,,,,,,,,,,,,,,,,,,,,,,
F,9,17.42282,34.97082,62.7084,87.1398,114.2428,157.1651,185.186,953.9112,1103.1176,,,,,,,,,,,,,,,,,,,,,
Ne,10,21.5646,40.96328,63.45,97.12,126.21,157.93,207.2759,239.0989,1195.8286,1362.1995,,,,,,,,,,,,,,,,,,,,
Na,11,5.13908,47.2864,71.62,98.91,138.4,172.18,208.5,264.25,299.864,1465.121,1648.702,,,,,,,,,,,,,,,,,,,
Mg,12,7.64624,15.03528,80.1437,109.2655,141.27,186.76,225.02,265.96,328.06,367.5,1761.805,1962.665,,,,,,,,,,,,,,,,,,
Al,13,5.98577,18.82856,28.44765,119.992,153.825,190.49,241.76,284.66,330.13,398.75,442,2085.98,2304.141,,,,,,,,,,,,,,,,,
Si,14,8.15169,16.34585,33.49302,45.14181,166.767,205.27,246.5,303.54,351.12,401.37,476.36,523.42,2437.63,2673.182,,,,,,,,,,,,,,,,
P,15,10.48669,19.7694,30.2027,51.4439,65.0251,220.421,263.57,309.6,372.13,424.4,479.46,560.8,611.74,2816.91,3069.842,,,,,,,,,,,,,,,
S,16,10.36001,23.3379,34.79,47.222,72.5945,88.053,280.948,328.75,379.55,447.5,504.8,564.44,652.2,707.01,3223.78,3494.1892,,,,,,,,,,,,,,
Cl,17,12.96764,23.814,39.61,53.4652,67.8,97.03,114.1958,348.28,400.06,455.63,529.28,591.99,656.71,749.76,809.4,3658.521,3946.296,,,,,,,,,,,,,
Ar,18,15.75962,27.62967,40.74,59.81,75.02,91.009,124.323,143.46,422.45,478.69,538.96,618.26,686.1,755.74,854.77,918.03,4120.8857,4426.2296,,,,,,,,,,,,
K,19,4.34066,31.63,45.806,60.91,82.66,99.4,117.56,154.88,175.8174,503.8,564.7,629.4,714.6,786.6,861.1,968,1033.4,4610.8,4934.046,,,,,,,,,,,
Ca,20,6.11316,11.87172,50.9131,67.27,84.5,108.78,127.2,147.24,188.54,211.275,591.9,657.2,726.6,817.6,894.5,974,1087,1157.8,5128.8,5469.864,,,,,,,,,,
Sc,21,6.5615,12.79967,24.75666,73.4894,91.65,110.68,138,158.1,180.03,225.18,249.798,687.36,756.7,830.8,927.5,1009,1094,1213,1287.97,5674.8,6033.712,,,,,,,,,
Ti,22,6.8281,13.5755,27.4917,43.2672,99.3,119.53,140.8,170.4,192.1,215.92,265.07,291.5,787.84,863.1,941.9,1044,1131,1221,1346,1425.4,6249,6625.82,,,,,,,,
V,23,6.7462,14.66,29.311,46.709,65.2817,128.13,150.6,173.4,205.8,230.5,255.7,308.1,336.277,896,976,1060,1168,1260,1355,1486,1569.6,6851.3,7246.12,,,,,,,
Cr,24,6.7665,16.4857,30.96,49.16,69.46,90.6349,160.18,184.7,209.3,244.4,270.8,298,354.8,384.168,1010.6,1097,1185,1299,1396,1496,1634,1721.4,7481.7,7894.81,,,,,,
Mn,25,7.43402,15.63999,33.668,51.2,72.4,95.6,119.203,194.5,221.8,248.3,286,314.4,343.6,403,435.163,1134.7,1224,1317,1437,1539,1644,1788,1879.9,8140.6,8571.94,,,,,
Fe,26,7.9024,16.1878,30.652,54.8,75,99.1,124.98,151.06,233.6,262.1,290.2,330.8,361,392.2,457,489.256,1266,1358,1456,1582,1689,1799,1950,2023,8828,9277.69,,,,
Co,27,7.881,17.083,33.5,51.3,79.5,102,128.9,157.8,186.13,275.4,305,336,379,411,444,511.96,546.58,1397.2,1504.6,1603,1735,1846,1962,2119,2219,9544.1,10012.12,,,
Ni,28,7.6398,18.16884,35.19,54.9,76.06,108,133,162,193,224.6,321,352,384,430,464,499,571.08,607.06,1541,1648,1756,1894,2011,2131,2295,2399.2,10288.8,10775.4,,
Cu,29,7.72638,20.2924,36.841,57.38,79.8,103,139,166,199,232,265.3,369,401,435,484,520,557,633,670.588,1697,1804,1916,2060,2182,2308,2478,2587.5,11062.38,11567.617,
Zn,30,9.3942,17.9644,39.723,59.4,82.6,108,134,174,203,238,274,310.8,419.7,454,490,542,579,619,698,738,1856,,,,,,,,,
Ga,31,5.9993,20.5142,30.71,64,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,32,7.8994,15.93462,34.2241,45.7131,93.5,,,,,,,,,,,,,,,,,,,,,,,,,
As,33,9.7886,18.633,28.351,50.13,62.63,127.6,,,,,,,,,,,,,,,,,,,,,,,,
Se,34,9.75238,21.19,30.8204,42.945,68.3,81.7,155.4,,,,,,,,,,,,,,,,,,,,,,,
Br,35,11.81381,21.8,36,47.3,59.7,88.6,103,192.8,,,,,,,,,,,,,,,,,,,,,,
Kr,36,13.99961,24.35985,36.95,52.5,64.7,78.5,111,125.802,230.85,268.2,308,350,391,447,492,541,592,641,786,833,884,937,998,1051,1151,1205.3,2928,3070,3227,3381
Rb,37,4.17713,27.285,40,52.6,71,84.4,99.2,136,150,277.1,,,,,,,,,,,,,,,,,,,,
Sr,38,5.6949,11.03013,42.89,57,71.6,90.8,106,122.3,162,177,324.1,,,,,,,,,,,,,,,,,,,
Y,39,6.2171,12.24,20.52,60.597,77,93,116,129,146.2,191,206,374,,,,,,,,,,,,,,,,,,
Zr,40,6.6339,13.13,22.99,34.34,80.348,,,,,,,,,,,,,,,,,,,,,,,,,
Nb,41,6.75885,14.32,25.04,38.3,50.55,102.057,125,,,,,,,,,,,,,,,,,,,,,,,
Mo,42,7.09243,16.16,27.13,46.4,54.49,68.8276,125.664,143.6,164.12,186.4,209.3,230.28,279.1,302.6,544,570,636,702,767,833,902,968,1020,1082,1263,1323,1387,1449,1535,1601
Tc,43,7.28,15.26,29.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ru,44,7.3605,16.76,28.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rh,45,7.4589,18.08,31.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,46,8.3369,19.43,32.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag,47,7.5762,21.49,34.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd,48,8.9938,16.90832,37.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
In,49,5.78636,18.8698,28.03,54,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn,50,7.3439,14.63225,30.5026,40.73502,72.28,,,,,,,,,,,,,,,,,,,,,,,,,
Sb,51,8.6084,16.53051,25.3,44.2,56,108,,,,,,,,,,,,,,,,,,,,,,,,
Te,52,9.0096,18.6,27.96,37.41,58.75,70.7,137,,,,,,,,,,,,,,,,,,,,,,,
I,53,10.45126,19.1313,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xe,54,12.1298,21.20979,32.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs,55,3.8939,23.15745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba,56,5.2117,10.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La,57,5.5769,11.06,19.1773,49.95,61.6,,,,,,,,,,,,,,,,,,,,,,,,,
Ce,58,5.5387,10.85,20.198,36.758,65.55,77.6,,,,,,,,,,,,,,,,,,,,,,,,
Pr,59,5.473,10.55,21.624,38.98,57.53,,,,,,,,,,,,,,,,,,,,,,,,,
Nd,60,5.525,10.73,22.1,40.41,,,,,,,,,,,,,,,,,,,,,,,,,,
Pm,61,5.582,10.9,22.3,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm,62,5.6436,11.07,23.4,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu,63,5.6704,11.241,24.92,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd,64,6.1501,12.09,20.63,44,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb,65,5.8638,11.52,21.91,39.79,,,,,,,,,,,,,,,,,,,,,,,,,,
Dy,66,5.9389,11.67,22.8,41.47,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho,67,6.0215,11.8,22.84,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Er,68,6.1077,11.93,22.74,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Tm,69,6.18431,12.05,23.68,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb,70,6.25416,12.1761,25.05,43.56,,,,,,,,,,,,,,,,,,,,,,,,,,
Lu,71,5.4259,13.9,20.9594,45.25,66.8,,,,,,,,,,,,,,,,,,,,,,,,,
Hf,72,6.82507,14.9,23.3,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Ta,73,7.5496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,74,7.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re,75,7.8335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Os,76,8.4382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ir,77,8.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pt,78,8.9587,18.563,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au,79,9.2255,20.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hg,80,10.4375,18.756,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl,81,6.1082,20.428,29.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb,82,7.41666,15.0322,31.9373,42.32,68.8,,,,,,,,,,,,,,,,,,,,,,,,,
Bi,83,7.2856,16.69,25.56,45.3,56,88.3,,,,,,,,,,,,,,,,,,,,,,,,
Po,84,8.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At,85,9.31751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rn,86,10.7485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,87,4.0727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ra,88,5.2784,10.14716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac,89,5.17,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Th,90,6.3067,11.5,20,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa,91,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,92,6.19405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Np,93,6.2657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pu,94,6.0262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am,95,5.9738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cm,96,5.9915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bk,97,6.1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cf,98,6.2817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Es,99,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fm,100,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Md,101,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,102,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lr,103,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rf,104,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
